Epoch,Episode,Episode_Reward,Avg_Loss,Actor_Loss,Critic_Loss,Entropy_Loss,Avg_Reversal,Crane_Move,Steps_in_Episode
0,32,74.875,-6.726297404448191,-7.315824337800344,0.6388741957743963,-0.04934725751479467,65.0625,0.0,4800
1,32,75.625,-7.754413127581278,-8.32566261100769,0.6183052669962247,-0.04705579510082801,64.8125,0.0,4800
2,32,73.3125,-7.553351865768432,-8.107153176943461,0.5996831587354342,-0.04588185620556275,65.625,0.0,4800
3,32,78.84375,-7.903879916508992,-8.465301625887554,0.6062231199741364,-0.044801414415240284,63.90625,0.0,4800
4,32,73.65625,-7.643119550387064,-8.185069056510926,0.5856732906003793,-0.04372378004093965,65.84375,0.0,4800
5,32,76.3125,-7.787961653391521,-8.320360915501912,0.5753638465205828,-0.04296458354840676,64.875,0.0,4800
6,32,80.125,-8.173837398529052,-8.689846191724142,0.5585934808651606,-0.04258469382673502,63.9375,0.0,4800
7,32,76.46875,-8.255973386128744,-8.769142603874206,0.5558043697377046,-0.042635157038768134,65.15625,0.0,4800
8,32,75.21875,-8.365462854703267,-8.878880562782287,0.5555386667450269,-0.04212096013625463,65.65625,0.0,4800
9,32,79.84375,-8.621235156059265,-9.134891473134358,0.5552191512783369,-0.041562848376731076,64.21875,0.0,4800
10,32,79.6875,-8.872050931294758,-9.395372531255086,0.5642117173671722,-0.04089012657602628,64.5,0.0,4800
11,32,79.125,-8.683647591590882,-9.201544953346252,0.5576603953242302,-0.039763034569720426,64.6875,0.0,4800
12,32,76.03125,-8.43816702747345,-8.94857722345988,0.5503284296393395,-0.03991821971535683,65.84375,0.0,4800
13,32,79.53125,-8.8354131453832,-9.356786083539326,0.5614648186763128,-0.04009186853468418,64.53125,0.0,4800
14,32,78.65625,-8.646356475830078,-9.14986914952596,0.5431891746520996,-0.03967650775859753,65.15625,0.0,4800
15,32,77.84375,-8.453990399996439,-8.972398580233255,0.5575054267048836,-0.03909724061191082,65.15625,0.0,4800
16,32,78.8125,-8.567957542419434,-9.082502378145854,0.5532004936933518,-0.038655636948843795,65.0,0.0,4800
17,32,78.53125,-8.632209558169047,-9.13997522131602,0.5458182338674863,-0.03805255759507418,65.09375,0.0,4800
18,32,80.40625,-8.845359185218811,-9.350911987304688,0.5433146500984828,-0.03776184634119272,64.40625,0.0,4800
19,32,77.5625,-8.512001605351767,-9.02304087638855,0.5482726773818334,-0.03723340346415838,65.4375,0.0,4800
20,32,80.21875,-8.65806771405538,-9.160433811823527,0.5392796808083852,-0.03691359176238378,64.96875,0.0,4800
21,32,76.21875,-8.249697038332622,-8.754998664538066,0.5422944770256678,-0.03699285582701365,66.21875,0.0,4800
22,32,80.34375,-8.840559827804565,-9.3387779156367,0.5348309524655342,-0.036612848983456694,64.71875,0.0,4800
23,32,80.59375,-8.75493070824941,-9.248768783569336,0.5302782978117466,-0.036440217872460684,64.65625,0.0,4800
24,32,76.4375,-8.349343313217163,-8.840360335350036,0.527057632903258,-0.036040622894962626,66.0625,0.0,4800
25,32,81.28125,-8.768115900357564,-9.260519174893696,0.5281437672773996,-0.035740499898791314,64.78125,0.0,4800
26,32,82.09375,-8.791826921145121,-9.279991936047871,0.5236596244970958,-0.03549461344008644,64.28125,0.0,4800
27,32,78.40625,-8.387768947283426,-8.879523104985555,0.5269718628724416,-0.03521771142010888,65.71875,0.0,4800
28,32,78.25,-8.333185391426086,-8.821322402636211,0.5225454941789309,-0.03440848938499888,66.0625,0.0,4800
29,32,81.59375,-8.578649608929952,-9.067612887382507,0.5230359796186288,-0.034072713402410346,65.15625,0.0,4800
30,32,79.375,-8.489266068776448,-8.979688231150309,0.5245104846556982,-0.03408831808467706,65.75,0.0,4800
31,32,76.65625,-8.2362762409846,-8.720872170766194,0.5183944807549318,-0.03379854879279932,66.90625,0.0,4800
32,32,78.96875,-8.394205186208088,-8.868463174819947,0.5076388579408327,-0.03338088146969676,66.03125,0.0,4800
33,32,78.96875,-8.409100543657939,-8.879637428283692,0.503679825981458,-0.033142947783072786,66.21875,0.0,4800
34,32,80.3125,-8.367547779401143,-8.843895672480265,0.5091814474264781,-0.03283356112241745,65.875,0.0,4800
35,32,78.90625,-8.2303565381368,-8.71021138604482,0.5122229049603144,-0.03236805578321218,66.34375,0.0,4800
36,32,80.59375,-8.32286298306783,-8.796246168454488,0.5053598508437475,-0.0319766617094477,65.71875,0.0,4800
37,32,81.21875,-8.318364395777385,-8.784639678001405,0.49781471967697144,-0.031539428774267436,65.40625,0.0,4800
38,32,81.625,-8.229809109369914,-8.697856764157613,0.4991447551846504,-0.03109709988286098,65.375,0.0,4800
39,32,77.40625,-7.956096086819967,-8.423362924257914,0.4980797000130018,-0.0308128592732052,66.71875,0.0,4800
40,32,80.9375,-8.249441190401713,-8.720502304077149,0.5016523441076278,-0.03059121861557166,65.6875,0.0,4800
41,32,77.4375,-7.908133070309957,-8.372013102213542,0.49429757573207217,-0.03041754031429688,67.0625,0.0,4800
42,32,80.6875,-8.182763555208842,-8.64718512058258,0.4943181795080503,-0.029896597851067783,65.625,0.0,4800
43,32,78.09375,-7.88680640856425,-8.34522738647461,0.48860856223106386,-0.030187581789990266,66.34375,0.0,4800
44,32,80.8125,-8.22681367524465,-8.688062572161357,0.4912462477684021,-0.02999735181654493,65.75,0.0,4800
45,32,80.75,-8.044667323112488,-8.501584255536397,0.48659215823809304,-0.02967522454013427,65.8125,0.0,4800
46,32,75.65625,-7.54271353149414,-8.001015542984009,0.48767843810717265,-0.029376433555036784,67.46875,0.0,4800
47,32,79.5625,-8.026656630516053,-8.47799147860209,0.48068137280146284,-0.02934653698777159,66.125,0.0,4800
48,32,80.5625,-7.982693934122722,-8.431502149105071,0.47814642419417697,-0.029338197966416676,65.5625,0.0,4800
49,32,83.875,-8.500926149050395,-8.956997854232789,0.48500910820563636,-0.0289373807956775,64.875,0.0,4800
50,32,82.375,-8.089466732660929,-8.533720811525981,0.47283762885133424,-0.028583558386812608,64.9375,0.0,4800
51,32,84.875,-8.303379980723063,-8.754561055819194,0.47950400894880296,-0.02832292686899503,64.125,0.0,4800
52,32,80.53125,-7.796499470710755,-8.24832306798299,0.4799346505999565,-0.028111057579517363,65.71875,0.0,4800
53,32,83.625,-8.16356339677175,-8.610885845502217,0.47511697314182916,-0.027794506188482046,64.5625,0.0,4800
54,32,80.59375,-7.793421520868937,-8.246951545079549,0.4808525572617849,-0.02732251936942339,65.40625,0.0,4800
55,32,77.75,-7.466599831899007,-7.920394112586975,0.480834401845932,-0.027040123218049605,66.75,0.0,4800
56,32,82.78125,-7.927484905560811,-8.373128403345744,0.47252857822179795,-0.026885088441272575,64.90625,0.0,4800
57,32,80.8125,-7.757034434318543,-8.202512504577637,0.4722946666677793,-0.026816580444574356,65.6875,0.0,4800
58,32,83.0,-7.926826727867127,-8.368955072085063,0.46837207730611163,-0.026243732535590727,64.75,0.0,4800
59,32,80.6875,-7.657727322896322,-8.104190831184388,0.4724427233537038,-0.025979212975750367,65.75,0.0,4800
60,32,79.8125,-7.4480382280349735,-7.894480555216472,0.47221542565027874,-0.02577309575676918,65.8125,0.0,4800
61,32,81.59375,-7.6015086930592854,-8.048088695844015,0.4718513466715813,-0.025271341397116582,65.46875,0.0,4800
62,32,81.90625,-7.586566446940104,-8.031198173522949,0.4694694236914317,-0.024837707919379077,65.34375,0.0,4800
63,32,82.9375,-7.709200934410095,-8.152084872245789,0.46736883687973024,-0.024484897991021475,65.125,0.0,4800
64,32,81.03125,-7.33900848197937,-7.786125611305237,0.47157429107030235,-0.02445716149608294,65.90625,0.0,4800
65,32,85.59375,-7.747846747080485,-8.190556746800741,0.46709929809967676,-0.024389296232412257,64.34375,0.0,4800
66,32,80.65625,-7.198014568010966,-7.640365560849507,0.4666392683784167,-0.024288277361541988,65.78125,0.0,4800
67,32,80.21875,-7.244186438560486,-7.686893817901612,0.466830616235733,-0.024123230144381523,65.84375,0.0,4800
68,32,85.15625,-7.652085874875387,-8.092509929974874,0.4644693210522334,-0.02404525860523184,64.53125,0.0,4800
69,32,80.8125,-7.310349735577901,-7.755212119102478,0.46901020661989845,-0.024147819658120472,65.9375,0.0,4800
70,32,83.75,-7.635931606610616,-8.081020043373108,0.4691180358926455,-0.024029583621770143,64.75,0.0,4800
71,32,80.53125,-7.324861967722575,-7.770169125874837,0.46911140116055805,-0.02380424060796698,65.90625,0.0,4800
72,32,81.71875,-7.3448150323232015,-7.795618042310079,0.47450083883603417,-0.023697822916011014,65.53125,0.0,4800
73,32,81.75,-7.3720911715825395,-7.822198789278666,0.4738090632160505,-0.023701436373094718,65.25,0.0,4800
74,32,80.34375,-7.21027609093984,-7.65875762907664,0.4719990054965019,-0.02351747595643004,65.78125,0.0,4800
75,32,83.46875,-7.546110815048218,-7.998262219746907,0.47530079424381255,-0.02314939616372188,65.34375,0.0,4800
76,32,80.5,-7.226210291226705,-7.6769213930765785,0.47378957011302314,-0.02307847144578894,66.1875,0.0,4800
77,32,79.4375,-7.168153226852417,-7.6228373950322466,0.4775656838019689,-0.022881509125232697,66.75,0.0,4800
78,32,80.375,-7.274423152605692,-7.730301255544027,0.4787979525725047,-0.022919850115974746,67.0,0.0,4800
79,32,80.5625,-7.301331420898437,-7.755614765803019,0.4770814283688863,-0.02279808518787225,66.625,0.0,4800
80,32,81.15625,-7.3387126541137695,-7.793823534011841,0.4778673878510793,-0.022756508023788532,66.40625,0.0,4800
81,32,84.09375,-7.5872383906046545,-8.03915004603068,0.47471559939781827,-0.022803940635174512,65.53125,0.0,4800
82,32,78.375,-6.921613119125366,-7.3741322587331135,0.4752575489282608,-0.02273841132596135,67.0625,0.0,4800
83,32,78.09375,-7.038148520787557,-7.490539505640665,0.4750824866096179,-0.02269150180866321,67.34375,0.0,4800
84,32,80.59375,-7.371493299802144,-7.825782793362936,0.4770025356411934,-0.022713042188435794,66.40625,0.0,4800
85,32,81.0,-7.193346842130025,-7.6517467212677,0.48087455646197,-0.022474672642846902,66.375,0.0,4800
86,32,79.875,-7.278410438219706,-7.735072127024333,0.4791561421751976,-0.02249447056899468,66.875,0.0,4800
87,32,80.84375,-7.116706516901652,-7.571801355997722,0.47756358700990675,-0.022468747849265735,66.40625,0.0,4800
88,32,81.625,-7.317397208849589,-7.772542237281799,0.47752982276678085,-0.022384797795365254,66.125,0.0,4800
89,32,81.125,-7.302594050089518,-7.756940598805746,0.47674325160185493,-0.0223967013421158,66.1875,0.0,4800
90,32,80.5,-7.232691474278768,-7.687123631159465,0.4767956978281339,-0.022363536124428113,66.375,0.0,4800
91,32,79.6875,-7.314123447100322,-7.768893177986145,0.4771294814745585,-0.02235974227761229,66.75,0.0,4800
92,32,83.0625,-7.507621061960856,-7.9655500574111935,0.48036032152175906,-0.02243132394179702,65.625,0.0,4800
93,32,80.8125,-7.277064478238423,-7.730440556526184,0.47580031110843024,-0.022424214797715347,66.375,0.0,4800
94,32,79.9375,-7.177702220757802,-7.633520583152771,0.4782266028324763,-0.02240825149913629,66.6875,0.0,4800
95,32,80.25,-7.297031618118286,-7.752500336329142,0.4778319487770398,-0.02236323319996397,66.75,0.0,4800
96,32,80.28125,-7.251653764088949,-7.709476263364156,0.4800925479332606,-0.022270050338159004,66.71875,0.0,4800
97,32,81.53125,-7.323620618502299,-7.780858714739481,0.4794717323581378,-0.022233621233453352,66.09375,0.0,4800
98,32,79.5625,-7.119641122182211,-7.576586375236511,0.4790442189772924,-0.022098978135734797,66.5625,0.0,4800
99,32,80.71875,-7.242282799084982,-7.696377876281738,0.47627882691224416,-0.02218374656761686,66.09375,0.0,4800
100,32,81.65625,-7.276940709749858,-7.7342539409001665,0.4794508053660393,-0.022137570758660633,65.90625,0.0,4800
101,32,82.59375,-7.424032273292542,-7.8810762739181515,0.4793041673103968,-0.022260166705896457,66.53125,0.0,4800
102,32,80.96875,-7.270099021116892,-7.729220780054728,0.48134914165735243,-0.02222737875704964,67.53125,0.0,4800
103,32,84.21875,-7.51278798866272,-7.9731763699849445,0.48268622608979544,-0.02229784055426717,66.78125,0.0,4800
104,32,81.65625,-7.256738604863485,-7.7173481426239015,0.48299259662628174,-0.02238305207590262,67.53125,0.0,4800
105,32,81.96875,-7.3308610928853355,-7.784804032325745,0.4763159322341283,-0.022372999995946885,67.65625,0.0,4800
106,32,85.125,-7.383635927359263,-7.842484575589498,0.4811885992288589,-0.022339954040944576,66.875,0.0,4800
107,32,83.125,-7.423337315877279,-7.880969322522481,0.4798343859712283,-0.02220238372683525,67.625,0.0,4800
108,32,86.15625,-7.637687914530436,-8.101520420710246,0.48589164624611536,-0.022059135496616363,66.71875,0.0,4800
109,32,83.34375,-7.277105077425639,-7.736261948903402,0.48123476666212084,-0.02207789762939016,67.65625,0.0,4800
